"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|1,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GPIO1"|""|0|1|10,"GPIO2"|""|0|1|10,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
4957409,1506794248507,,,,,,,,-0.02,0.06,0.98,-3.0,-0.2,-0.3,400,5,,,,,,,,,,,,,,,,,,,
4957429,1506794248527,,,,,,,,-0.02,0.07,0.99,-3.0,-0.2,-0.2,500,5,,,,,,,,,,,,,,,,,,,
4957449,1506794248547,,,,,,,,-0.02,0.08,0.99,-3.0,-0.3,-0.3,500,5,,,,,,,,,,,,,,,,,,,
4957469,1506794248567,,,,,,,,-0.02,0.08,1.01,-3.1,-0.4,-0.3,560,5,,,,,,,,,,,,,,,,,,,
4957491,1506794248589,,,,,0,,,-0.02,0.08,1.01,-3.1,-0.4,-0.5,560,5,0,0,100.0,0,35.490265,-119.54483,0.0,2.835,278.5,12,3,1.1,22,2.8367,0,0.0,7.8702,7.8583,23
4957510,1506794248608,,,,,,,,-0.01,0.08,1.02,-3.1,-0.2,-0.3,560,5,,,,,,,,,,,,,,,,,,,
4957530,1506794248628,,,,,,,,-0.01,0.08,1.02,-3.1,-0.5,-0.2,620,5,,,,,,,,,,,,,,,,,,,
4957550,1506794248648,,,,,,,,-0.02,0.05,1.01,-3.0,-0.7,-0.5,760,5,,,,,,,,,,,,,,,,,,,
4957570,1506794248668,,,,,,,,-0.03,0.01,1.0,-3.1,0.2,-0.5,760,5,,,,,,,,,,,,,,,,,,,
4957592,1506794248690,0,199.3,2.5,202.0,0,212.1,11.6,-0.02,0.03,0.99,-3.2,-1.3,-0.3,820,5,0,0,140.0,0,35.490265,-119.54483,0.0,2.835,278.5,12,3,1.1,22,2.8367,0,0.0,7.8719,7.86,23
4957611,1506794248709,,,,,,,,-0.01,-0.0,0.93,-3.1,-1.1,-0.2,840,5,,,,,,,,,,,,,,,,,,,
4957631,1506794248729,,,,,,,,0.04,0.05,0.73,-3.0,-2.3,0.1,880,5,,,,,,,,,,,,,,,,,,,
4957651,1506794248749,,,,,,,,0.06,0.04,0.71,-3.0,-2.4,0.1,900,5,,,,,,,,,,,,,,,,,,,
4957671,1506794248769,,,,,,,,0.06,0.05,0.73,-3.0,-2.0,-0.0,940,307692,,,,,,,,,,,,,,,,,,,
4957693,1506794248791,,,,,1,,,0.06,0.05,0.75,-3.0,-1.7,-0.1,980,0,0,0,205.0,0,35.490265,-119.54483,0.0,2.835,278.5,12,3,1.1,22,2.8367,0,0.0,7.8735,7.8617,23
4957712,1506794248809,,,,,,,,0.07,0.07,0.75,-2.8,-1.4,-0.1,1000,0,,,,,,,,,,,,,,,,,,,
4957732,1506794248829,,,,,,,,0.05,0.07,0.81,-2.8,-0.7,-0.3,1000,0,,,,,,,,,,,,,,,,,,,
4957752,1506794248849,,,,,,,,0.04,0.09,0.87,-2.8,-0.5,-0.3,1060,0,,,,,,,,,,,,,,,,,,,
4957772,1506794248869,,,,,,,,0.02,0.11,0.91,-2.8,-0.2,-0.3,1040,0,,,,,,,,,,,,,,,,,,,
4957794,1506794248891,0,199.2,,202.0,4,212.6,,0.02,0.1,0.93,-2.8,-0.2,-0.2,1060,0,0,0,0.0,0,35.490265,-119.54483,0.0,2.835,278.5,12,3,1.1,22,2.8367,0,0.0,7.8752,7.8633,23
4957813,1506794248909,,,,,,,,0.02,0.1,0.91,-2.8,-0.5,-0.3,1100,0,,,,,,,,,,,,,,,,,,,
4957833,1506794248929,,,,,,,,0.03,0.1,0.9,-2.9,-0.6,-0.3,1160,0,,,,,,,,,,,,,,,,,,,
4957853,1506794248949,,,,,,,,0.04,0.08,0.9,-2.9,-0.6,-0.3,1180,0,,,,,,,,,,,,,,,,,,,
4957873,1506794248969,,,,,,,,0.02,0.1,0.94,-3.0,-1.0,-0.3,1200,0,,,,,,,,,,,,,,,,,,,
4957895,1506794248991,,,,,5,,,0.01,0.1,0.95,-3.0,-1.0,-0.2,1200,0,0,1,0.0,0,35.490265,-119.54483,0.0,2.835,278.5,12,3,1.1,22,2.8367,0,0.0,7.8769,7.865,23
4957914,1506794249005,,,,,,,,0.01,0.1,0.95,-3.0,-0.9,-0.2,1240,0,,,,,,,,,,,,,,,,,,,
4957934,1506794249025,,,,,,,,0.01,0.09,0.96,-3.0,-0.9,-0.2,1260,0,,,,,,,,,,,,,,,,,,,
4957954,1506794249045,,,,,,,,0.01,0.09,0.96,-3.0,-0.8,-0.2,1260,0,,,,,,,,,,,,,,,,,,,
4957974,1506794249065,,,,,,,,0.01,0.09,0.97,-3.0,-0.8,-0.2,1280,0,,,,,,,,,,,,,,,,,,,
