"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|5,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Distance"|"Miles"|0.0|0.0|10,"Altitude"|"Feet"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
551288,1480295093794,,,,,,,,-0.04,0.03,0.99,-3.0,0.7,-0.0,160,0,,,,,,,,,,,,,,,,,
551308,1480295093814,,,,,,,,-0.04,0.05,0.98,-3.0,0.7,-0.0,160,0,,,,,,,,,,,,,,,,,
551328,1480295093834,,,,,0,,,-0.04,0.04,0.98,-3.0,0.5,-0.0,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
551348,1480295093854,,,,,,,,-0.04,0.04,0.98,-3.0,0.6,-0.0,160,0,,,,,,,,,,,,,,,,,
551368,1480295093874,,,,,,,,-0.04,0.05,0.98,-3.0,0.5,-0.0,160,0,,,,,,,,,,,,,,,,,
551388,1480295093795,,,,,,,,-0.04,0.05,0.98,-3.0,0.5,-0.0,160,0,,,,,,,,,,,,,,,,,
551408,1480295093815,,,,,,,,-0.05,0.06,0.98,-3.0,0.5,0.1,160,0,,,,,,,,,,,,,,,,,
551428,1480295093835,0,49.7,0.0,47.0,0,48.5,,-0.05,0.07,0.98,-3.1,0.4,0.1,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
551448,1480295093855,,,,,,,,-0.05,0.07,0.99,-3.1,0.3,0.2,160,0,,,,,,,,,,,,,,,,,
551468,1480295093875,,,,,,,,-0.04,0.07,0.99,-3.0,0.3,0.1,160,0,,,,,,,,,,,,,,,,,
551488,1480295093895,,,,,,,,-0.04,0.07,0.99,-3.0,0.4,0.1,160,0,,,,,,,,,,,,,,,,,
551508,1480295093906,,,,,,,,-0.04,0.08,0.99,-3.1,0.4,0.2,160,0,,,,,,,,,,,,,,,,,
