"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
51761,1464552251206,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51781,1464552251226,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51801,1464552251246,0.003,60,59,0,59,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,0.0,0.0,0
51821,1464552251266,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51841,1464552251285,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51861,1464552251306,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51881,1464552251326,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51901,1464552251346,,,,0,,,0.01,0.08,0.99,-3.0,-0.1,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51921,1464552251366,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51941,1464552251386,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51961,1464552251406,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
51981,1464552251426,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,83.0,6,2,0.0,0,0.0,-1,0.0,,0.0,0
52001,1464552251398,0.003,60,59,0,59,13.26,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
52021,1464552251437,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52041,1464552251476,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52061,1464552251504,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52081,1464552251526,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52101,1464552251546,,,,0,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52121,1464552251566,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52141,1464552251585,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52161,1464552251605,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52181,1464552251626,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52201,1464552251646,0.003,59,59,0,59,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
52221,1464552251666,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52241,1464552251686,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52261,1464552251705,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52281,1464552251726,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52301,1464552251746,,,,0,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52321,1464552251766,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52341,1464552251786,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52361,1464552251806,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52381,1464552251826,,,,,,,0.01,0.08,0.99,-3.0,-0.1,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52401,1464552251846,0.003,61,59,0,59,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
52421,1464552251866,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52441,1464552251886,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52461,1464552251906,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52481,1464552251926,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52501,1464552251946,,,,0,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52521,1464552251966,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52541,1464552251981,,,,,,,0.02,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
