"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
691591,1454563548653,,-0.16,-0.11,1.01,-0.2,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691611,1454563548673,,-0.16,-0.11,1.02,-0.2,1.3,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691631,1454563548693,,-0.16,-0.11,1.01,-0.2,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691651,1454563548713,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691671,1454563548733,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,0.0,0.0,0
691695,1454563548757,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691715,1454563548777,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691735,1454563548797,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691755,1454563548817,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691779,1454563548841,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691799,1454563548861,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691819,1454563548881,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691839,1454563548893,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691859,1454563548913,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
691883,1454563548937,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,0.0,0.0,0
691903,1454563548957,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
