"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
47601,1463879756448,0.08,207,178,0,193,,0.03,0.07,0.99,-3.1,-0.2,-0.0,0,0,39.539692,-122.332367,0.0,2.293,331.5,7,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
47621,1463879756699,,,,,,,0.03,0.07,0.99,-3.0,-0.2,-0.1,0,0,39.539692,-122.332367,0.0,2.293,331.5,7,3,1.8,0,0.0,-1,0.0,,0.0,0
47641,1463879756718,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.1,0,0,39.539692,-122.332367,0.0,2.293,331.5,7,3,1.8,0,0.0,-1,0.0,,0.0,0
47661,1463879756739,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.1,0,0,39.539692,-122.332367,0.0,2.293,331.5,7,3,1.8,0,0.0,-1,0.0,,0.0,0
47681,1463879756758,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.1,0,0,39.539692,-122.332367,0.0,2.293,331.5,7,3,1.8,0,0.0,-1,0.0,,0.0,0
47701,1463879756778,,,,0,,,0.03,0.07,0.99,-3.0,-0.1,-0.1,0,0,39.539692,-122.332367,0.0,2.293,331.5,7,3,1.8,0,0.0,-1,0.0,,0.0,0
47721,1463879756798,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.1,0,0,39.539673,-122.332367,0.0,2.294,337.2,8,3,1.7,0,0.0,-1,0.0,,0.0,0
47741,1463879756819,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.1,0,0,39.539673,-122.332367,0.0,2.294,337.2,8,3,1.7,0,0.0,-1,0.0,,0.0,0
47761,1463879756838,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.0,0,0,39.539673,-122.332367,0.0,2.294,337.2,8,3,1.7,0,0.0,-1,0.0,,0.0,0
47781,1463879756858,,,,,,,0.03,0.07,0.99,-3.0,-0.1,-0.0,0,0,39.539673,-122.332367,0.0,2.294,337.2,8,3,1.7,0,0.0,-1,0.0,,0.0,0
