"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
1774101,1463956979855,,,,0,,,0.04,0.06,0.98,-3.2,-0.4,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.668,5
1774121,1463956979885,,,,,,,0.04,0.06,0.98,-3.2,-0.4,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.6683,5
1774141,1463956979905,,,,,,,0.04,0.06,0.98,-3.2,-0.4,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.6687,5
1774161,1463956979924,,,,,,,0.04,0.06,0.98,-3.1,-0.4,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.669,5
1774181,1463956979941,,,,,,,0.04,0.06,0.98,-3.1,-0.3,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.6693,5
1774202,1463956979961,0.003,207,177,0,181,,0.04,0.06,0.98,-3.1,-0.2,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,2,1.6,4,3.9183,0,0.0,10.2427,9.6697,5
1774221,1463956979980,,,,,,,0.04,0.06,0.98,-3.1,-0.2,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,2,1.6,4,3.9183,0,0.0,,9.6697,5
1774241,1463956979988,,,,,,,0.04,0.06,0.98,-3.1,-0.1,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.67,5
1774261,1463956980006,,,,,,,0.04,0.06,0.98,-3.1,-0.1,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,1.6,4,3.9183,0,0.0,,9.6703,5
1774281,1463956980105,,,,,,,0.04,0.06,0.98,-3.1,-0.1,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,2,2.5,4,3.9183,0,0.0,,9.672,5
1774301,1463956980125,,,,0,,,0.04,0.06,0.98,-3.0,-0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,2,2.5,4,3.9183,0,0.0,,9.6723,5
1774321,1463956980143,,,,,,,0.04,0.06,0.98,-3.0,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6727,5
1774341,1463956980162,,,,,,,0.04,0.06,0.98,-2.9,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.673,5
1774361,1463956980181,,,,,,,0.04,0.06,0.98,-2.9,-0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,2,2.5,4,3.9183,0,0.0,,9.6733,5
1774381,1463956980201,,,,,,,0.04,0.06,0.98,-2.9,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6737,5
1774402,1463956980221,0.003,206,177,0,182,,0.04,0.06,0.98,-3.0,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,2,2.5,4,3.9183,0,0.0,10.2471,9.674,5
1774421,1463956980239,,,,,,,0.04,0.06,0.98,-3.0,0.1,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6743,5
1774441,1463956980257,,,,,,,0.04,0.06,0.98,-3.0,0.1,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6747,5
1774461,1463956980275,,,,,,,0.04,0.06,0.98,-3.0,0.1,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.675,5
1774481,1463956980294,,,,,,,0.04,0.06,0.98,-3.0,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6753,5
1774501,1463956980313,,,,0,,,0.04,0.06,0.98,-3.0,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6757,5
1774521,1463956980333,,,,,,,0.04,0.06,0.98,-3.0,0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.676,5
1774541,1463956980352,,,,,,,0.04,0.06,0.98,-3.0,0.0,-0.2,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6763,5
1774561,1463956980372,,,,,,,0.04,0.06,0.98,-3.0,-0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6767,5
1774581,1463956980392,,,,,,,0.04,0.06,0.98,-3.0,-0.0,-0.1,0,0,39.539532,-122.332146,0.0,5.745,356.7,10,3,2.5,4,3.9183,0,0.0,,9.6767,5
