"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
105721,1463872058347,,,,,,,0.01,0.07,0.99,-3.1,-0.1,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105741,1463872058380,,,,,,,0.01,0.07,0.99,-3.1,-0.2,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105761,1463872058400,,,,,,,0.01,0.07,0.99,-3.1,-0.2,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105781,1463872058420,,,,,,,0.02,0.07,0.99,-3.1,-0.2,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105801,1463872058440,0.003,56,54,0,55,,0.02,0.07,0.99,-3.1,-0.2,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,0.0,0.0,0
105821,1463872058460,,,,,,,0.02,0.07,0.99,-3.1,-0.2,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105841,1463872058479,,,,,,,0.02,0.07,0.99,-3.1,-0.2,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105861,1463872058499,,,,,,,0.02,0.07,0.99,-3.1,-0.2,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105881,1463872058518,,,,,,,0.02,0.06,0.99,-3.1,-0.1,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105901,1463872058539,,,,0,,,0.02,0.06,0.99,-3.1,-0.1,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105921,1463872058559,,,,,,,0.02,0.06,0.99,-3.1,-0.1,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105941,1463872058579,,,,,,,0.02,0.06,0.99,-3.1,-0.1,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105961,1463872058599,,,,,,,0.02,0.06,0.99,-3.0,0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
105981,1463872058619,,,,,,,0.02,0.06,0.99,-3.0,0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106001,1463872058639,0.003,56,54,0,55,12.76,0.02,0.06,0.99,-3.0,-0.1,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,0.0,0.0,0
106021,1463872058659,,,,,,,0.02,0.06,0.99,-3.0,-0.1,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106041,1463872058678,,,,,,,0.02,0.06,0.99,-3.1,-0.1,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106061,1463872058699,,,,,,,0.02,0.06,0.99,-3.1,-0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106081,1463872058719,,,,,,,0.02,0.06,0.99,-3.1,-0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106101,1463872058736,,,,0,,,0.02,0.06,0.99,-3.0,0.0,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106121,1463872058759,,,,,,,0.02,0.06,0.99,-3.1,0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106141,1463872058779,,,,,,,0.02,0.06,0.99,-3.1,-0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106161,1463872058799,,,,,,,0.02,0.06,0.99,-3.0,-0.0,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106181,1463872058820,,,,,,,0.02,0.06,0.99,-3.0,-0.0,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106201,1463872058840,0.004,55,53,0,55,,0.02,0.06,0.99,-3.0,-0.0,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,0.0,0.0,0
106221,1463872058860,,,,,,,0.02,0.06,0.99,-3.1,-0.0,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106241,1463872058879,,,,,,,0.02,0.06,0.99,-3.1,-0.0,0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
106261,1463872058900,,,,,,,0.02,0.06,0.99,-3.0,-0.0,-0.0,0,0,39.539578,-122.332306,0.0,0.007,327.8,9,2,2.0,0,0.0,-1,0.0,,0.0,0
